code,name,region_id,department_id,arrondissement_id,registered_voters,location_name,latitude,longitude
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0023,ECOLE PUBLIQUE BETARA - GONGO / A,,,,289,ADAMAOUA / DJEREM / NGAOUNDAL / BETARA - GONGO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0024,ECOLE PUBLIQUE BETARA - GONGO / B,,,,240,ADAMAOUA / DJEREM / NGAOUNDAL / BETARA - GONGO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0025,ECOLE PUBLIQUE CAMP FARA / A,,,,382,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0026,ECOLE PUBLIQUE CAMP FARA / B,,,,293,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0027,ECOLE PUBLIQUE CAMP FARA / C,,,,331,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0028,ECOLE PUBLIQUE CAMP FARA / D,,,,365,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0029,ECOLE PUBLIQUE CAMP FARA / E,,,,345,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0030,ECOLE PUBLIQUE CAMP FARA / F,,,,363,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0031,ECOLE PUBLIQUE CAMP FARA / G,,,,316,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0032,ECOLE PUBLIQUE CAMP FARA / H,,,,395,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0033,ECOLE PUBLIQUE CAMP FARA / I,,,,79,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0034,CENTRE D'INSTRUCTION CPEFAN / A,,,,142,ADAMAOUA / DJEREM / NGAOUNDAL / CPEFAN,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0035,CENTRE D'INSTRUCTION CPEFAN / B,,,,115,ADAMAOUA / DJEREM / NGAOUNDAL / CPEFAN,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0036,CENTRE D'INSTRUCTION CPEFAN / C,,,,149,ADAMAOUA / DJEREM / NGAOUNDAL / CPEFAN,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0037,CENTRE D'INSTRUCTION CPEFAN / D,,,,96,ADAMAOUA / DJEREM / NGAOUNDAL / CPEFAN,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0038,ECOLE PUBLIQUE DANFILI / A,,,,381,ADAMAOUA / DJEREM / NGAOUNDAL / DANFILI,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0039,ECOLE PUBLIQUE DANFILI / B,,,,354,ADAMAOUA / DJEREM / NGAOUNDAL / DANFILI,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0040,ECOLE PUBLIQUE DANFILI / C,,,,340,ADAMAOUA / DJEREM / NGAOUNDAL / DANFILI,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0041,ECOLE PUBLIQUE DANFILI / D,,,,251,ADAMAOUA / DJEREM / NGAOUNDAL / DANFILI,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0042,ECOLE PUBLIQUE DEMGOYA / A,,,,329,ADAMAOUA / DJEREM / NGAOUNDAL / DEMGOYA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0043,ECOLE PUBLIQUE DEMGOYA / B,,,,236,ADAMAOUA / DJEREM / NGAOUNDAL / DEMGOYA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0044,ECOLE PUBLIQUE DJAOURO KOMBO / A,,,,286,ADAMAOUA / DJEREM / NGAOUNDAL / DJAOURO KOMBO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0045,ECOLE DES PARENTS DJOSSI MALAO / A,,,,118,ADAMAOUA / DJEREM / NGAOUNDAL / DJOSSI MALAO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0046,ECOLE PUBLIQUE DJOUNDE I / A,,,,266,ADAMAOUA / DJEREM / NGAOUNDAL / DJOUNDE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0047,ECOLE PUBLIQUE DJOUNDE I / B,,,,279,ADAMAOUA / DJEREM / NGAOUNDAL / DJOUNDE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0048,ECOLE PUBLIQUE DJOUNDE I / C,,,,261,ADAMAOUA / DJEREM / NGAOUNDAL / DJOUNDE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0049,ECOLE PUBLIQUE DJOUNDE TIGOH / A,,,,213,ADAMAOUA / DJEREM / NGAOUNDAL / DJOUNDE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0050,ECOLE PUBLIQUE GARE / A,,,,306,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0051,ECOLE PUBLIQUE GARE / B,,,,307,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0052,ECOLE PUBLIQUE GARE / C,,,,301,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0053,ECOLE PUBLIQUE GARE / D,,,,303,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0054,ECOLE PUBLIQUE GARE / E,,,,288,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0055,ECOLE PUBLIQUE GARE / F,,,,297,ADAMAOUA / DJEREM / NGAOUNDAL / CAMP FARA NGAOUNDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0056,OFFICE CEREALIER CPEFAN / A,,,,272,ADAMAOUA / DJEREM / NGAOUNDAL / CPEFAN,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0057,OFFICE CEREALIER CPEFAN / B,,,,288,ADAMAOUA / DJEREM / NGAOUNDAL / CPEFAN,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0058,OFFICE CEREALIER CPEFAN / C,,,,186,ADAMAOUA / DJEREM / NGAOUNDAL / CPEFAN,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0059,ECOLE PUBLIQUE HONTA / A,,,,242,ADAMAOUA / DJEREM / NGAOUNDAL / HONTA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0060,ECOLE PUBLIQUE KASSA / A,,,,258,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0061,ECOLE PUBLIQUE KASSA / B,,,,190,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0062,ECOLE PUBLIQUE KASSA MBERE / A,,,,163,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA MBERE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0063,ECOLE PUBLIQUE GROUPE III NGAOUNDAL /,,,,363,ADAMAOUA / DJEREM / NGAOUNDAL / KPOKEYA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0064,ECOLE PUBLIQUE GROUPE III NGAOUNDAL /,,,,312,ADAMAOUA / DJEREM / NGAOUNDAL / KPOKEYA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0065,ECOLE PUBLIQUE GROUPE III NGAOUNDAL /,,,,154,ADAMAOUA / DJEREM / NGAOUNDAL / KPOKEYA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0066,ECOLE DES PARENTS LIMBING / A,,,,64,ADAMAOUA / DJEREM / NGAOUNDAL / GOUNTE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0067,ECOLE PUBLIQUE MADJOING I / A,,,,259,ADAMAOUA / DJEREM / NGAOUNDAL / MADJOING I,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0068,ECOLE DES PARENTS MADJOING II / A,,,,266,ADAMAOUA / DJEREM / NGAOUNDAL / MADJOING II,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0069,ECOLE PUBLIQUE SALLO-ABEL / A,,,,336,ADAMAOUA / DJEREM / NGAOUNDAL / MAFARA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0070,ECOLE PUBLIQUE MAGBOR / A,,,,212,ADAMAOUA / DJEREM / NGAOUNDAL / MAGBOR,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0071,CES DANFILI / A,,,,271,ADAMAOUA / DJEREM / NGAOUNDAL / MAMBAL - HAOUSSA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0072,CES DANFILI / B,,,,267,ADAMAOUA / DJEREM / NGAOUNDAL / MAMBAL - HAOUSSA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0073,E PRIVEE MATERNELLE BIL NGAOUNDAL / A,,,,384,ADAMAOUA / DJEREM / NGAOUNDAL / MAMBAL - HAOUSSA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0074,E PRIVEE MATERNELLE BIL NGAOUNDAL / B,,,,317,ADAMAOUA / DJEREM / NGAOUNDAL / MAMBAL - HAOUSSA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0075,E PRIVEE MATERNELLE BIL NGAOUNDAL / C,,,,152,ADAMAOUA / DJEREM / NGAOUNDAL / MAMBAL - HAOUSSA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0076,ECOLE PUBLIQUE MANDOUROU / A,,,,71,ADAMAOUA / DJEREM / NGAOUNDAL / MANDOUROU,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0077,ECOLE PUBLIQUE MASSIM-COOPERATIVE / A,,,,229,ADAMAOUA / DJEREM / NGAOUNDAL / MASSIM COOPERATIVE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0078,ECOLE DES PARENTS MASSIM- PLATEAU / A,,,,152,ADAMAOUA / DJEREM / NGAOUNDAL / MASSIM PLATEAU,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0079,LYCEE CLASSIQUE NGAOUNDAL / A,,,,364,ADAMAOUA / DJEREM / NGAOUNDAL / MBARNANG,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0080,LYCEE CLASSIQUE NGAOUNDAL / B,,,,119,ADAMAOUA / DJEREM / NGAOUNDAL / MBARNANG,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0081,LYCEE BILINGUE NGAOUNDAL / A,,,,405,ADAMAOUA / DJEREM / NGAOUNDAL / MBARNANG CAMPAGNE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0082,LYCEE BILINGUE NGAOUNDAL / B,,,,325,ADAMAOUA / DJEREM / NGAOUNDAL / MBARNANG CAMPAGNE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0083,ECOLE DES PARENTS MBONG / A,,,,89,ADAMAOUA / DJEREM / NGAOUNDAL / MBONG,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0084,ECOLE PUBLIQUE NGALBIDJE / A,,,,281,ADAMAOUA / DJEREM / NGAOUNDAL / NGALBIDJE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0085,ECOLE PUBLIQUE NGALBIDJE / B,,,,233,ADAMAOUA / DJEREM / NGAOUNDAL / NGALBIDJE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0086,ECOLE DES PARENTS NGABISKEDJE / A,,,,133,ADAMAOUA / DJEREM / NGAOUNDAL / NGABISKEDJE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0087,ECOLE PUBLIQUE NGUITTI / A,,,,218,ADAMAOUA / DJEREM / NGAOUNDAL / NGUITTI,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0088,ECOLE PUBLIQUE PANGAR / A,,,,357,ADAMAOUA / DJEREM / NGAOUNDAL / PANGAR,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0089,ECOLE PUBLIQUE PANGAR / B,,,,352,ADAMAOUA / DJEREM / NGAOUNDAL / PANGAR,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0090,ECOLE PUBLIQUE PANGAR / C,,,,299,ADAMAOUA / DJEREM / NGAOUNDAL / PANGAR,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0091,LYCEE TECHNIQUE NGAOUNDAL / A,,,,415,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA MBERE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0092,LYCEE TECHNIQUE NGAOUNDAL / B,,,,359,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA MBERE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0093,LYCEE TECHNIQUE NGAOUNDAL / C,,,,369,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA MBERE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0094,LYCEE TECHNIQUE NGAOUNDAL / D,,,,315,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA MBERE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0095,LYCEE TECHNIQUE NGAOUNDAL / E,,,,276,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA MBERE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0096,LYCEE TECHNIQUE NGAOUNDAL / F,,,,414,ADAMAOUA / DJEREM / NGAOUNDAL / KASSA MBERE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0097,ECOLE PUBLIQUE GROUPE II NGAOUNDAL / A,,,,353,ADAMAOUA / DJEREM / NGAOUNDAL / ALI - AFFAIRE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0098,ECOLE BILINGUE NGAOUNDAL / A,,,,415,ADAMAOUA / DJEREM / NGAOUNDAL / MANDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0099,ECOLE BILINGUE NGAOUNDAL / B,,,,380,ADAMAOUA / DJEREM / NGAOUNDAL / MANDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0100,ECOLE BILINGUE NGAOUNDAL / C,,,,359,ADAMAOUA / DJEREM / NGAOUNDAL / MANDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0101,ECOLE BILINGUE NGAOUNDAL / D,,,,307,ADAMAOUA / DJEREM / NGAOUNDAL / MANDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0102,ECOLE BILINGUE NGAOUNDAL / E,,,,222,ADAMAOUA / DJEREM / NGAOUNDAL / MANDAL,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0103,ECOLE DES PARENTS ZAMBOI / A,,,,296,ADAMAOUA / DJEREM / NGAOUNDAL / DEMGOYA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0104,ECOLE DES PARENTS DE MOYAO TAGGUE /,,,,105,ADAMAOUA / DJEREM / NGAOUNDAL / MAYO TAGGUE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0105,E.P DE MBARNANG CAMPAGNE / A,,,,202,ADAMAOUA / DJEREM / NGAOUNDAL / MBARNANG,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0106,ECOLE PUBLIQUE MAYO KOKA / A,,,,54,ADAMAOUA / DJEREM / NGAOUNDAL / MAYO KOKA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0107,ECOLE DES PARENTS DE KPOKEYA / A,,,,48,ADAMAOUA / DJEREM / NGAOUNDAL / KPOKEYA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0108,ECOLE PUBLIQUE GOMMANA / A,,,,79,ADAMAOUA / DJEREM / NGAOUNDAL / GOMMANA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0109,ECOLE DES PARENTS DE YITTORO / A,,,,52,ADAMAOUA / DJEREM / NGAOUNDAL / YITTORO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0110,ECOLE DES PARENTS DE MAYO KOKA,,,,34,ADAMAOUA / DJEREM / NGAOUNDAL / MAYO KOKA VILLAGE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0111,ECOLE PUBLIQUE MASSIM TOURADJO / A,,,,65,ADAMAOUA / DJEREM / NGAOUNDAL / MASSIM TOURADJO,,
ELECAM-2025-AD-DJEREM-TIBATI-0001,ECOLE PUBLIQUE ALAMISSA / A,,,,244,ADAMAOUA / DJEREM / TIBATI / ALAMISSA,,
ELECAM-2025-AD-DJEREM-TIBATI-0002,ECOLE PUBLIQUE ALLAT MENGACK / A,,,,321,ADAMAOUA / DJEREM / TIBATI / ALLAT MENGACK,,
ELECAM-2025-AD-DJEREM-TIBATI-0003,ECOLE PUBLIQUE ALLAT MENGACK / B,,,,324,ADAMAOUA / DJEREM / TIBATI / ALLAT MENGACK,,
ELECAM-2025-AD-DJEREM-TIBATI-0004,ECOLE PUBLIQUE ALLAT MENGACK / C,,,,338,ADAMAOUA / DJEREM / TIBATI / ALLAT MENGACK,,
ELECAM-2025-AD-DJEREM-TIBATI-0005,ESPLANADE CHEFFERIE BA'NANA / A,,,,99,ADAMAOUA / DJEREM / TIBATI / BA'NANA,,
ELECAM-2025-AD-DJEREM-TIBATI-0006,ECOLE PUBLIQUE BANTAI / A,,,,389,ADAMAOUA / DJEREM / TIBATI / BANTAI,,
ELECAM-2025-AD-DJEREM-TIBATI-0007,ECOLE PUBLIQUE BANTAI / B,,,,28,ADAMAOUA / DJEREM / TIBATI / BANTAI,,
ELECAM-2025-AD-DJEREM-TIBATI-0008,ECOLE PUBLIQUE BAROODE / A,,,,282,ADAMAOUA / DJEREM / TIBATI / BAROODE,,
ELECAM-2025-AD-DJEREM-TIBATI-0009,ECOLE PUBLIQUE BAROODE / B,,,,257,ADAMAOUA / DJEREM / TIBATI / BAROODE,,
ELECAM-2025-AD-DJEREM-TIBATI-0010,BRIGADE GENDARMERIE / A,,,,153,ADAMAOUA / DJEREM / TIBATI / BLOC GENDARMERIE,,
ELECAM-2025-AD-DJEREM-TIBATI-0011,ECOLE PUBLIQUE BONINTING / A,,,,194,ADAMAOUA / DJEREM / TIBATI / BONINTING,,
ELECAM-2025-AD-DJEREM-TIBATI-0012,ECOLE PUBLIQUE BOUBALA / A,,,,192,ADAMAOUA / DJEREM / TIBATI / BOUBALA,,
ELECAM-2025-AD-DJEREM-TIBATI-0013,ECOLE FRANCO-ARABE DU LAMIDAT / A,,,,352,ADAMAOUA / DJEREM / TIBATI / BOUITIBA,,
ELECAM-2025-AD-DJEREM-TIBATI-0014,ECOLE FRANCO-ARABE DU LAMIDAT / B,,,,308,ADAMAOUA / DJEREM / TIBATI / BOUITIBA,,
ELECAM-2025-AD-DJEREM-TIBATI-0015,ECOLE FRANCO-ARABE DU LAMIDAT / C,,,,429,ADAMAOUA / DJEREM / TIBATI / BOUITIBA,,
ELECAM-2025-AD-DJEREM-TIBATI-0016,ECOLE FRANCO-ARABE DU LAMIDAT / D,,,,167,ADAMAOUA / DJEREM / TIBATI / BOUITIBA,,
ELECAM-2025-AD-DJEREM-TIBATI-0017,SALLE DES FETES / A,,,,365,ADAMAOUA / DJEREM / TIBATI / CAMP FONCTIONNAIRES,,
ELECAM-2025-AD-DJEREM-TIBATI-0018,SALLE DES FETES / B,,,,356,ADAMAOUA / DJEREM / TIBATI / CAMP FONCTIONNAIRES,,
ELECAM-2025-AD-DJEREM-TIBATI-0019,DD SPORTS ET EDUCATION PHYSIQUE / A,,,,249,ADAMAOUA / DJEREM / TIBATI / CENTRE COMMERCIAL,,
ELECAM-2025-AD-DJEREM-TIBATI-0020,DD SPORTS ET EDUCATION PHYSIQUE / B,,,,216,ADAMAOUA / DJEREM / TIBATI / CENTRE COMMERCIAL,,
ELECAM-2025-AD-DJEREM-TIBATI-0021,ECOLE PUBLIQUE DABER / A,,,,298,ADAMAOUA / DJEREM / TIBATI / DABER,,
ELECAM-2025-AD-DJEREM-TIBATI-0022,ECOLE PUBLIQUE DABER / B,,,,259,ADAMAOUA / DJEREM / TIBATI / DABER,,
ELECAM-2025-AD-DJEREM-TIBATI-0023,ECOLE PUBLIQUE MBAMTI / A,,,,254,ADAMAOUA / DJEREM / TIBATI / DAR-ES-SALAM,,
ELECAM-2025-AD-DJEREM-TIBATI-0024,ECOLE PUBLIQUE DJOMBI / A,,,,297,ADAMAOUA / DJEREM / TIBATI / DJOMBI,,
ELECAM-2025-AD-DJEREM-TIBATI-0025,ECOLE PUBLIQUE DJOMBI / B,,,,284,ADAMAOUA / DJEREM / TIBATI / DJOMBI,,
ELECAM-2025-AD-DJEREM-TIBATI-0026,ESPL CHEFFERIE HOSSERE KOBA / A,,,,364,ADAMAOUA / DJEREM / TIBATI / HOSSERE KOBA,,
ELECAM-2025-AD-DJEREM-TIBATI-0027,ECOLE PUBLIQUE KANDJE / A,,,,220,ADAMAOUA / DJEREM / TIBATI / KANDJE,,
ELECAM-2025-AD-DJEREM-TIBATI-0028,ECOLE PUBLIQUE KOATA / A,,,,367,ADAMAOUA / DJEREM / TIBATI / KOATA,,
ELECAM-2025-AD-DJEREM-TIBATI-0029,ECOLE PUBLIQUE KOATA / B,,,,371,ADAMAOUA / DJEREM / TIBATI / KOATA,,
ELECAM-2025-AD-DJEREM-TIBATI-0030,ECOLE PUBLIQUE KOATA / C,,,,81,ADAMAOUA / DJEREM / TIBATI / KOATA,,
ELECAM-2025-AD-DJEREM-TIBATI-0031,ECOLE PUBLIQUE LAINDE NGOUDA / A,,,,299,ADAMAOUA / DJEREM / TIBATI / LAINDE NGOUDA,,
ELECAM-2025-AD-DJEREM-TIBATI-0032,ECOLE PUBLIQUE LIBOUM / A,,,,304,ADAMAOUA / DJEREM / TIBATI / LIBOUM,,
ELECAM-2025-AD-DJEREM-TIBATI-0033,ECOLE DES PARENTS MAABER / A,,,,347,ADAMAOUA / DJEREM / TIBATI / MAABER,,
ELECAM-2025-AD-DJEREM-TIBATI-0034,ECOLE PUBLIQUE MAHOR / A,,,,179,ADAMAOUA / DJEREM / TIBATI / MAHOR,,
ELECAM-2025-AD-DJEREM-TIBATI-0035,ECOLE PUBLIQUE MAISSABA / A,,,,188,ADAMAOUA / DJEREM / TIBATI / MAISSABA,,
ELECAM-2025-AD-DJEREM-TIBATI-0036,ECOLE PUBLIQUE GROUPE 4 YOKO / A,,,,154,ADAMAOUA / DJEREM / TIBATI / MAKENDAO,,
ELECAM-2025-AD-DJEREM-TIBATI-0037,ECOLE PUBLIQUE MALARBA I / A,,,,432,ADAMAOUA / DJEREM / TIBATI / MALARBA I,,
